1,9,-11.64,-4.29,0,paul-corsaro-1,iupui,2025,
1,134,-6.582,-1.538,0,mark-montgomery-1,detroit-mercy,2025,
1,3,-13.02,-1.98,0,doug-gottlieb-1,green-bay,2025,oklahoma-state
26,414,-1.569,-2.983,4,james-jones-3,yale,2025,quinnipiac
9,75,-7.748,-3.23,0,david-mclaughlin-1,dartmouth,2025,
14,249,2.011,-1.886,2,mitch-henderson-1,princeton,2025,iona
1,14,-1.55,-3.23,0,jon-jaques-1,cornell,2025,
13,161,-4.84,-3.01,0,mike-martin-1,brown,2025,siena
18,478,3.252,1.282,6,tommy-amaker-1,harvard,2025,marist
10,330,-2.396,-1.277,4,steve-donahue-1,pennsylvania,2025,njit
9,181,-9.688,-5.226,0,jim-engles-1,columbia,2025,loyola-md
7,249,-6.877,-5.075,1,john-dunne-1,marist,2025,harvard
2,240,-2.909,-0.741,0,tom-pecora-1,quinnipiac,2025,yale
6,97,-7.975,-7.458,0,joe-gallo-2,merrimack,2025,vermont
1,17,-8.35,-6.93,0,donny-lind-1,mount-st-marys,2025,
2,49,-7.82,-7.56,1,tobin-anderson-1,iona,2025,princeton
2,189,-9.112,-5.734,1,john-gallagher-1,manhattan,2025,maryland
12,153,-10.49,-7.938,0,anthony-latina-1,sacred-heart,2025,temple
1,13,-6.15,-6.86,0,gerry-mcnamara-1,siena,2025,brown
2,98,-8.858,-4.634,0,chris-casey-1,fairfield,2025,rhode-island
13,202,-4.985,-4.222,0,kevin-baggett-1,rider,2025,ucla
3,208,-7.12,-6.885,1,bashir-mason-1,saint-peters,2025,seton-hall
6,77,-8.2,-5.647,0,greg-paulus-1,niagara,2025,
1,323,2.917,3.51,2,jim-christian-1,canisius,2025,arizona
8,342,4.681,1.432,5,john-groce-1,akron,2025,arkansas-state
3,118,4.523,2.949,0,travis-steele-1,miami-oh,2025,appalachian-state
14,283,1.177,-1.505,2,rob-senderoff-1,kent-state,2025,louisiana-lafayette
15,430,0.591,-1.067,0,tod-kowalczyk-1,toledo,2025,troy
6,168,-0.442,-3.28,1,jeff-boals-1,ohio,2025,james-madison
3,49,-4.997,-5.287,0,michael-lewis-1,ball-state,2025,georgia-state
4,254,3.234,4.196,4,stan-heath-1,eastern-michigan,2025,texas-state
3,30,-9.83,-3.233,0,dwayne-stephens-2,western-michigan,2025,coastal-carolina
