Seed1,Team1,Team1_id,Score1,Seed2,Team2,Team2_id,Score2,Winner,Winner_id,Year
16,Coastal Car,324,72.0,1,Wisconsin,275,86.0,0,275,2015
9,Oklahoma St,197,73.0,8,Oregon,2483,79.0,0,2483,2015
12,Wofford,2747,53.0,5,Arkansas,8,56.0,0,8,2015
13,Harvard,108,65.0,4,North Carolina,153,67.0,0,153,2015
11,Ole Miss,145,57.0,6,Xavier,2752,76.0,0,2752,2015
14,Georgia St,2247,57.0,3,Baylor,239,56.0,1,2247,2015
10,Ohio State,194,75.0,7,VCU,2670,72.0,1,194,2015
15,Texas Southern,2640,72.0,2,Arizona,12,93.0,0,12,2015
16,Lafayette,322,52.0,1,Villanova,222,93.0,0,222,2015
9,LSU,99,65.0,8,NC State,152,66.0,0,152,2015
12,Wyoming,2751,54.0,5,Northern Iowa,2460,71.0,0,2460,2015
13,UC Irvine,300,55.0,4,Louisville,97,57.0,0,97,2015
11,Dayton,2168,66.0,6,Providence,2507,53.0,1,2168,2015
14,UAlbany,399,60.0,3,Oklahoma,201,69.0,0,201,2015
10,Georgia,61,63.0,7,Michigan St,127,70.0,0,127,2015
15,Belmont,2057,67.0,2,Virginia,258,79.0,0,258,2015
16,Robert Morris,2523,56.0,1,Duke,150,85.0,0,150,2015
9,St John's,2599,64.0,8,San Diego St,21,76.0,0,21,2015
12,SF Austin,2617,50.0,5,Utah,254,57.0,0,254,2015
13,E Washington,331,74.0,4,Georgetown,46,84.0,0,46,2015
11,UCLA,26,60.0,6,SMU,2567,59.0,1,26,2015
14,UAB,5,60.0,3,Iowa State,66,59.0,1,5,2015
10,Davidson,2166,52.0,7,Iowa,2294,83.0,0,2294,2015
15,N Dakota St,2449,76.0,2,Gonzaga,2250,86.0,0,2250,2015
8,Cincinnati,2132,51.0,1,Kentucky,96,64.0,0,96,2015
5,West Virginia,277,69.0,4,Maryland,120,59.0,1,277,2015
6,Butler,2086,64.0,3,Notre Dame,87,67.0,0,87,2015
7,Wichita St,2724,78.0,2,Kansas,2305,65.0,1,2724,2015
8,Oregon,2483,65.0,1,Wisconsin,275,72.0,0,275,2015
5,Arkansas,8,78.0,4,North Carolina,153,87.0,0,153,2015
14,Georgia St,2247,67.0,6,Xavier,2752,75.0,0,2752,2015
10,Ohio State,194,58.0,2,Arizona,12,73.0,0,12,2015
8,NC State,152,71.0,1,Villanova,222,68.0,1,152,2015
5,Northern Iowa,2460,53.0,4,Louisville,97,66.0,0,97,2015
11,Dayton,2168,66.0,3,Oklahoma,201,72.0,0,201,2015
7,Michigan St,127,60.0,2,Virginia,258,54.0,1,127,2015
8,San Diego St,21,49.0,1,Duke,150,68.0,0,150,2015
5,Utah,254,75.0,4,Georgetown,46,64.0,1,254,2015
14,UAB,5,75.0,11,UCLA,26,92.0,0,26,2015
7,Iowa,2294,68.0,2,Gonzaga,2250,87.0,0,2250,2015
5,West Virginia,277,39.0,1,Kentucky,96,78.0,0,96,2015
7,Wichita St,2724,70.0,3,Notre Dame,87,81.0,0,87,2015
4,North Carolina,153,72.0,1,Wisconsin,275,79.0,0,275,2015
6,Xavier,2752,60.0,2,Arizona,12,68.0,0,12,2015
8,NC State,152,65.0,4,Louisville,97,75.0,0,97,2015
7,Michigan St,127,62.0,3,Oklahoma,201,58.0,1,127,2015
5,Utah,254,57.0,1,Duke,150,63.0,0,150,2015
11,UCLA,26,62.0,2,Gonzaga,2250,74.0,0,2250,2015
3,Notre Dame,87,66.0,1,Kentucky,96,68.0,0,96,2015
2,Arizona,12,78.0,1,Wisconsin,275,85.0,0,275,2015
7,Michigan St,127,76.0,4,Louisville,97,70.0,1,127,2015
2,Gonzaga,2250,52.0,1,Duke,150,66.0,0,150,2015
1,Kentucky,96,64.0,1,Wisconsin,275,71.0,0,275,2015
7,Michigan St,127,61.0,1,Duke,150,81.0,0,150,2015
1,Wisconsin,275,63.0,1,Duke,150,68.0,0,150,2015
16,Austin Peay,2046,79.0,1,Kansas,2305,105.0,0,2305,2016
9,UConn,41,74.0,8,Colorado,38,67.0,1,41,2016
12,S Dakota St,2571,74.0,5,Maryland,120,79.0,0,120,2016
13,Hawai’i,62,77.0,4,California,25,66.0,1,62,2016
11,Wichita St,2724,65.0,6,Arizona,12,55.0,1,2724,2016
14,Buffalo,2084,72.0,3,Miami,2390,79.0,0,2390,2016
10,Temple,218,70.0,7,Iowa,2294,72.0,0,2294,2016
15,UNC Asheville,2427,56.0,2,Villanova,222,86.0,0,222,2016
16,Holy Cross,107,52.0,1,Oregon,2483,91.0,0,2483,2016
9,Cincinnati,2132,76.0,8,Saint Joseph's,2603,78.0,0,2603,2016
12,Yale,43,79.0,5,Baylor,239,75.0,1,43,2016
13,UNC Wilmington,350,85.0,4,Duke,150,93.0,0,150,2016
11,Northern Iowa,2460,75.0,6,Texas,251,72.0,1,2460,2016
14,Green Bay,2739,65.0,3,Texas A&M,245,92.0,0,245,2016
10,VCU,2670,75.0,7,Oregon St,204,67.0,1,2670,2016
15,Bakersfield,2934,68.0,2,Oklahoma,201,82.0,0,201,2016
16,FGCU,526,67.0,1,North Carolina,153,83.0,0,153,2016
9,Providence,2507,70.0,8,USC,30,69.0,1,2507,2016
12,Chattanooga,236,74.0,5,Indiana,84,99.0,0,84,2016
13,Stony Brook,2619,57.0,4,Kentucky,96,85.0,0,96,2016
11,Michigan,130,63.0,6,Notre Dame,87,70.0,0,87,2016
14,SF Austin,2617,70.0,3,West Virginia,277,56.0,1,2617,2016
10,Pitt,221,43.0,7,Wisconsin,275,47.0,0,275,2016
15,Weber St,2692,53.0,2,Xavier,2752,71.0,0,2752,2016
16,Hampton,2261,45.0,1,Virginia,258,81.0,0,258,2016
9,Butler,2086,71.0,8,Texas Tech,2641,61.0,1,2086,2016
12,Little Rock,2031,85.0,5,Purdue,2509,83.0,1,2031,2016
13,Iona,314,81.0,4,Iowa State,66,94.0,0,66,2016
11,Gonzaga,2250,68.0,6,Seton Hall,2550,52.0,1,2250,2016
14,Fresno St,278,69.0,3,Utah,254,80.0,0,254,2016
10,Syracuse,183,70.0,7,Dayton,2168,51.0,1,183,2016
15,MTSU,2393,90.0,2,Michigan St,127,81.0,1,2393,2016
9,UConn,41,61.0,1,Kansas,2305,73.0,0,2305,2016
13,Hawai’i,62,60.0,5,Maryland,120,73.0,0,120,2016
11,Wichita St,2724,57.0,3,Miami,2390,65.0,0,2390,2016
7,Iowa,2294,68.0,2,Villanova,222,87.0,0,222,2016
8,Saint Joseph's,2603,64.0,1,Oregon,2483,69.0,0,2483,2016
12,Yale,43,64.0,4,Duke,150,71.0,0,150,2016
11,Northern Iowa,2460,88.0,3,Texas A&M,245,92.0,0,245,2016
10,VCU,2670,81.0,2,Oklahoma,201,85.0,0,201,2016
9,Providence,2507,66.0,1,North Carolina,153,85.0,0,153,2016
5,Indiana,84,73.0,4,Kentucky,96,67.0,1,84,2016
14,SF Austin,2617,75.0,6,Notre Dame,87,76.0,0,87,2016
7,Wisconsin,275,66.0,2,Xavier,2752,63.0,1,275,2016
9,Butler,2086,69.0,1,Virginia,258,77.0,0,258,2016
12,Little Rock,2031,61.0,4,Iowa State,66,78.0,0,66,2016
11,Gonzaga,2250,82.0,3,Utah,254,59.0,1,2250,2016
15,MTSU,2393,50.0,10,Syracuse,183,75.0,0,183,2016
5,Maryland,120,63.0,1,Kansas,2305,79.0,0,2305,2016
3,Miami,2390,69.0,2,Villanova,222,92.0,0,222,2016
4,Duke,150,68.0,1,Oregon,2483,82.0,0,2483,2016
3,Texas A&M,245,63.0,2,Oklahoma,201,77.0,0,201,2016
5,Indiana,84,86.0,1,North Carolina,153,101.0,0,153,2016
7,Wisconsin,275,56.0,6,Notre Dame,87,61.0,0,87,2016
4,Iowa State,66,71.0,1,Virginia,258,84.0,0,258,2016
11,Gonzaga,2250,60.0,10,Syracuse,183,63.0,0,183,2016
2,Villanova,222,64.0,1,Kansas,2305,59.0,1,222,2016
2,Oklahoma,201,80.0,1,Oregon,2483,68.0,1,201,2016
6,Notre Dame,87,74.0,1,North Carolina,153,88.0,0,153,2016
10,Syracuse,183,68.0,1,Virginia,258,62.0,1,183,2016
2,Villanova,222,95.0,2,Oklahoma,201,51.0,1,222,2016
10,Syracuse,183,66.0,1,North Carolina,153,83.0,0,153,2016
2,Villanova,222,77.0,1,North Carolina,153,74.0,1,222,2016
16,Mount St Marys,116,56.0,1,Villanova,222,76.0,0,222,2017
9,Virginia Tech,259,74.0,8,Wisconsin,275,84.0,0,275,2017
12,UNC Wilmington,350,71.0,5,Virginia,258,76.0,0,258,2017
13,ETSU,2193,65.0,4,Florida,57,80.0,0,57,2017
11,USC,30,66.0,6,SMU,2567,65.0,1,30,2017
14,New Mexico St,166,73.0,3,Baylor,239,91.0,0,239,2017
10,Marquette,269,73.0,7,South Carolina,2579,93.0,0,2579,2017
15,Troy,2653,65.0,2,Duke,150,87.0,0,150,2017
16,S Dakota St,2571,46.0,1,Gonzaga,2250,66.0,0,2250,2017
9,Vanderbilt,238,66.0,8,Northwestern,77,68.0,0,77,2017
12,Princeton,163,58.0,5,Notre Dame,87,60.0,0,87,2017
13,Bucknell,2083,80.0,4,West Virginia,277,86.0,0,277,2017
11,Xavier,2752,76.0,6,Maryland,120,65.0,1,2752,2017
14,FGCU,526,80.0,3,Florida St,52,86.0,0,52,2017
10,VCU,2670,77.0,7,Saint Mary's,2608,85.0,0,2608,2017
15,North Dakota,155,82.0,2,Arizona,12,100.0,0,12,2017
16,UC Davis,302,62.0,1,Kansas,2305,100.0,0,2305,2017
