Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
2,Wisconsin,275,1,Arizona,12,1,275,2014
8,Kentucky,96,2,Michigan,130,1,96,2014
7,UConn,41,1,Florida,57,1,41,2014
8,Kentucky,96,2,Wisconsin,275,1,96,2014
8,Kentucky,96,7,UConn,41,0,41,2014
16,Hampton,2261,1,Kentucky,96,0,96,2015
9,Purdue,2509,8,Cincinnati,2132,0,2132,2015
12,Buffalo,2084,5,West Virginia,277,0,277,2015
13,Valparaiso,2674,4,Maryland,120,0,120,2015
11,Texas,251,6,Butler,2086,0,2086,2015
14,Northeastern,111,3,Notre Dame,87,0,87,2015
10,Indiana,84,7,Wichita St,2724,0,2724,2015
15,New Mexico St,166,2,Kansas,2305,0,2305,2015
16,Coastal Car,324,1,Wisconsin,275,0,275,2015
9,Oklahoma St,197,8,Oregon,2483,0,2483,2015
12,Wofford,2747,5,Arkansas,8,0,8,2015
13,Harvard,108,4,North Carolina,153,0,153,2015
11,Ole Miss,145,6,Xavier,2752,0,2752,2015
14,Georgia St,2247,3,Baylor,239,1,2247,2015
10,Ohio State,194,7,VCU,2670,1,194,2015
15,Texas Southern,2640,2,Arizona,12,0,12,2015
16,Lafayette,322,1,Villanova,222,0,222,2015
9,LSU,99,8,NC State,152,0,152,2015
12,Wyoming,2751,5,Northern Iowa,2460,0,2460,2015
13,UC Irvine,300,4,Louisville,97,0,97,2015
11,Dayton,2168,6,Providence,2507,1,2168,2015
14,UAlbany,399,3,Oklahoma,201,0,201,2015
10,Georgia,61,7,Michigan St,127,0,127,2015
15,Belmont,2057,2,Virginia,258,0,258,2015
16,Robert Morris,2523,1,Duke,150,0,150,2015
9,St John's,2599,8,San Diego St,21,0,21,2015
12,SF Austin,2617,5,Utah,254,0,254,2015
13,E Washington,331,4,Georgetown,46,0,46,2015
11,UCLA,26,6,SMU,2567,1,26,2015
14,UAB,5,3,Iowa State,66,1,5,2015
10,Davidson,2166,7,Iowa,2294,0,2294,2015
15,N Dakota St,2449,2,Gonzaga,2250,0,2250,2015
8,Cincinnati,2132,1,Kentucky,96,0,96,2015
5,West Virginia,277,4,Maryland,120,1,277,2015
6,Butler,2086,3,Notre Dame,87,0,87,2015
7,Wichita St,2724,2,Kansas,2305,1,2724,2015
8,Oregon,2483,1,Wisconsin,275,0,275,2015
5,Arkansas,8,4,North Carolina,153,0,153,2015
14,Georgia St,2247,6,Xavier,2752,0,2752,2015
10,Ohio State,194,2,Arizona,12,0,12,2015
8,NC State,152,1,Villanova,222,1,152,2015
5,Northern Iowa,2460,4,Louisville,97,0,97,2015
11,Dayton,2168,3,Oklahoma,201,0,201,2015
7,Michigan St,127,2,Virginia,258,1,127,2015
8,San Diego St,21,1,Duke,150,0,150,2015
5,Utah,254,4,Georgetown,46,1,254,2015
14,UAB,5,11,UCLA,26,0,26,2015
7,Iowa,2294,2,Gonzaga,2250,0,2250,2015
5,West Virginia,277,1,Kentucky,96,0,96,2015
7,Wichita St,2724,3,Notre Dame,87,0,87,2015
4,North Carolina,153,1,Wisconsin,275,0,275,2015
6,Xavier,2752,2,Arizona,12,0,12,2015
8,NC State,152,4,Louisville,97,0,97,2015
7,Michigan St,127,3,Oklahoma,201,1,127,2015
5,Utah,254,1,Duke,150,0,150,2015
11,UCLA,26,2,Gonzaga,2250,0,2250,2015
3,Notre Dame,87,1,Kentucky,96,0,96,2015
2,Arizona,12,1,Wisconsin,275,0,275,2015
7,Michigan St,127,4,Louisville,97,1,127,2015
2,Gonzaga,2250,1,Duke,150,0,150,2015
1,Kentucky,96,1,Wisconsin,275,0,275,2015
7,Michigan St,127,1,Duke,150,0,150,2015
1,Wisconsin,275,1,Duke,150,0,150,2015
16,Austin Peay,2046,1,Kansas,2305,0,2305,2016
9,UConn,41,8,Colorado,38,1,41,2016
12,S Dakota St,2571,5,Maryland,120,0,120,2016
13,Hawai’i,62,4,California,25,1,62,2016
11,Wichita St,2724,6,Arizona,12,1,2724,2016
14,Buffalo,2084,3,Miami,2390,0,2390,2016
10,Temple,218,7,Iowa,2294,0,2294,2016
15,UNC Asheville,2427,2,Villanova,222,0,222,2016
16,Holy Cross,107,1,Oregon,2483,0,2483,2016
9,Cincinnati,2132,8,Saint Joseph's,2603,0,2603,2016
12,Yale,43,5,Baylor,239,1,43,2016
13,UNC Wilmington,350,4,Duke,150,0,150,2016
11,Northern Iowa,2460,6,Texas,251,1,2460,2016
14,Green Bay,2739,3,Texas A&M,245,0,245,2016
10,VCU,2670,7,Oregon St,204,1,2670,2016
15,Bakersfield,2934,2,Oklahoma,201,0,201,2016
16,FGCU,526,1,North Carolina,153,0,153,2016
9,Providence,2507,8,USC,30,1,2507,2016
12,Chattanooga,236,5,Indiana,84,0,84,2016
13,Stony Brook,2619,4,Kentucky,96,0,96,2016
11,Michigan,130,6,Notre Dame,87,0,87,2016
14,SF Austin,2617,3,West Virginia,277,1,2617,2016
10,Pitt,221,7,Wisconsin,275,0,275,2016
15,Weber St,2692,2,Xavier,2752,0,2752,2016
16,Hampton,2261,1,Virginia,258,0,258,2016
9,Butler,2086,8,Texas Tech,2641,1,2086,2016
12,Little Rock,2031,5,Purdue,2509,1,2031,2016
13,Iona,314,4,Iowa State,66,0,66,2016
11,Gonzaga,2250,6,Seton Hall,2550,1,2250,2016
14,Fresno St,278,3,Utah,254,0,254,2016
10,Syracuse,183,7,Dayton,2168,1,183,2016
15,MTSU,2393,2,Michigan St,127,1,2393,2016
9,UConn,41,1,Kansas,2305,0,2305,2016
13,Hawai’i,62,5,Maryland,120,0,120,2016
11,Wichita St,2724,3,Miami,2390,0,2390,2016
7,Iowa,2294,2,Villanova,222,0,222,2016
8,Saint Joseph's,2603,1,Oregon,2483,0,2483,2016
12,Yale,43,4,Duke,150,0,150,2016
11,Northern Iowa,2460,3,Texas A&M,245,0,245,2016
10,VCU,2670,2,Oklahoma,201,0,201,2016
9,Providence,2507,1,North Carolina,153,0,153,2016
5,Indiana,84,4,Kentucky,96,1,84,2016
14,SF Austin,2617,6,Notre Dame,87,0,87,2016
7,Wisconsin,275,2,Xavier,2752,1,275,2016
9,Butler,2086,1,Virginia,258,0,258,2016
12,Little Rock,2031,4,Iowa State,66,0,66,2016
11,Gonzaga,2250,3,Utah,254,1,2250,2016
15,MTSU,2393,10,Syracuse,183,0,183,2016
5,Maryland,120,1,Kansas,2305,0,2305,2016
3,Miami,2390,2,Villanova,222,0,222,2016
4,Duke,150,1,Oregon,2483,0,2483,2016
3,Texas A&M,245,2,Oklahoma,201,0,201,2016
5,Indiana,84,1,North Carolina,153,0,153,2016
7,Wisconsin,275,6,Notre Dame,87,0,87,2016
4,Iowa State,66,1,Virginia,258,0,258,2016
11,Gonzaga,2250,10,Syracuse,183,0,183,2016
2,Villanova,222,1,Kansas,2305,1,222,2016
2,Oklahoma,201,1,Oregon,2483,1,201,2016
6,Notre Dame,87,1,North Carolina,153,0,153,2016
10,Syracuse,183,1,Virginia,258,1,183,2016
2,Villanova,222,2,Oklahoma,201,1,222,2016
10,Syracuse,183,1,North Carolina,153,0,153,2016
2,Villanova,222,1,North Carolina,153,1,222,2016
16,Mount St Marys,116,1,Villanova,222,0,222,2017
9,Virginia Tech,259,8,Wisconsin,275,0,275,2017
12,UNC Wilmington,350,5,Virginia,258,0,258,2017
13,ETSU,2193,4,Florida,57,0,57,2017
11,USC,30,6,SMU,2567,1,30,2017
14,New Mexico St,166,3,Baylor,239,0,239,2017
10,Marquette,269,7,South Carolina,2579,0,2579,2017
15,Troy,2653,2,Duke,150,0,150,2017
16,S Dakota St,2571,1,Gonzaga,2250,0,2250,2017
9,Vanderbilt,238,8,Northwestern,77,0,77,2017
12,Princeton,163,5,Notre Dame,87,0,87,2017
13,Bucknell,2083,4,West Virginia,277,0,277,2017
11,Xavier,2752,6,Maryland,120,1,2752,2017
14,FGCU,526,3,Florida St,52,0,52,2017
10,VCU,2670,7,Saint Mary's,2608,0,2608,2017
15,North Dakota,155,2,Arizona,12,0,12,2017
16,UC Davis,302,1,Kansas,2305,0,2305,2017
9,Michigan St,127,8,Miami,2390,1,127,2017
12,Nevada,2440,5,Iowa State,66,0,66,2017
13,Vermont,261,4,Purdue,2509,0,2509,2017
11,Rhode Island,227,6,Creighton,156,1,227,2017
14,Iona,314,3,Oregon,2483,0,2483,2017
10,Oklahoma St,197,7,Michigan,130,0,130,2017
15,Jax State,55,2,Louisville,97,0,97,2017
16,Texas Southern,2640,1,North Carolina,153,0,153,2017
9,Seton Hall,2550,8,Arkansas,8,0,8,2017
12,MTSU,2393,5,Minnesota,135,1,2393,2017
13,Winthrop,2737,4,Butler,2086,0,2086,2017
11,Kansas St,2306,6,Cincinnati,2132,0,2132,2017
14,Kent State,2309,3,UCLA,26,0,26,2017
10,Wichita St,2724,7,Dayton,2168,1,2724,2017
15,N Kentucky,94,2,Kentucky,96,0,96,2017
8,Wisconsin,275,1,Villanova,222,1,275,2017
5,Virginia,258,4,Florida,57,0,57,2017
11,USC,30,3,Baylor,239,0,239,2017
7,South Carolina,2579,2,Duke,150,1,2579,2017
8,Northwestern,77,1,Gonzaga,2250,0,2250,2017
5,Notre Dame,87,4,West Virginia,277,0,277,2017
11,Xavier,2752,3,Florida St,52,1,2752,2017
7,Saint Mary's,2608,2,Arizona,12,0,12,2017
9,Michigan St,127,1,Kansas,2305,0,2305,2017
5,Iowa State,66,4,Purdue,2509,0,2509,2017
11,Rhode Island,227,3,Oregon,2483,0,2483,2017
7,Michigan,130,2,Louisville,97,1,130,2017
8,Arkansas,8,1,North Carolina,153,0,153,2017
12,MTSU,2393,4,Butler,2086,0,2086,2017
6,Cincinnati,2132,3,UCLA,26,0,26,2017
10,Wichita St,2724,2,Kentucky,96,0,96,2017
8,Wisconsin,275,4,Florida,57,0,57,2017
7,South Carolina,2579,3,Baylor,239,1,2579,2017
4,West Virginia,277,1,Gonzaga,2250,0,2250,2017
11,Xavier,2752,2,Arizona,12,1,2752,2017
4,Purdue,2509,1,Kansas,2305,0,2305,2017
7,Michigan,130,3,Oregon,2483,0,2483,2017
4,Butler,2086,1,North Carolina,153,0,153,2017
3,UCLA,26,2,Kentucky,96,0,96,2017
