Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
5,Baylor,239,12,Yale,43,0,43,2016
4,Duke,150,13,UNC Wilmington,350,1,150,2016
6,Texas,251,11,Northern Iowa,2460,0,2460,2016
3,Texas A&M,245,14,Green Bay,2739,1,245,2016
7,Oregon St,204,10,VCU,2670,0,2670,2016
2,Oklahoma,201,15,Bakersfield,2934,1,201,2016
1,North Carolina,153,16,FGCU,526,1,153,2016
8,USC,30,9,Providence,2507,0,2507,2016
5,Indiana,84,12,Chattanooga,236,1,84,2016
4,Kentucky,96,13,Stony Brook,2619,1,96,2016
6,Notre Dame,87,11,Michigan,130,1,87,2016
3,West Virginia,277,14,SF Austin,2617,0,2617,2016
7,Wisconsin,275,10,Pitt,221,1,275,2016
2,Xavier,2752,15,Weber St,2692,1,2752,2016
1,Virginia,258,16,Hampton,2261,1,258,2016
8,Texas Tech,2641,9,Butler,2086,0,2086,2016
5,Purdue,2509,12,Little Rock,2031,0,2031,2016
4,Iowa State,66,13,Iona,314,1,66,2016
6,Seton Hall,2550,11,Gonzaga,2250,0,2250,2016
3,Utah,254,14,Fresno St,278,1,254,2016
7,Dayton,2168,10,Syracuse,183,0,183,2016
2,Michigan St,127,15,MTSU,2393,0,2393,2016
1,Kansas,2305,9,UConn,41,1,2305,2016
5,Maryland,120,13,Hawai’i,62,1,120,2016
11,Wichita St,2724,3,Miami,2390,0,2390,2016
7,Iowa,2294,2,Villanova,222,0,222,2016
1,Oregon,2483,8,Saint Joseph's,2603,1,2483,2016
12,Yale,43,4,Duke,150,0,150,2016
11,Northern Iowa,2460,3,Texas A&M,245,0,245,2016
10,VCU,2670,2,Oklahoma,201,0,201,2016
1,North Carolina,153,9,Providence,2507,1,153,2016
5,Indiana,84,4,Kentucky,96,1,84,2016
6,Notre Dame,87,14,SF Austin,2617,1,87,2016
7,Wisconsin,275,2,Xavier,2752,1,275,2016
1,Virginia,258,9,Butler,2086,1,258,2016
12,Little Rock,2031,4,Iowa State,66,0,66,2016
11,Gonzaga,2250,3,Utah,254,1,2250,2016
10,Syracuse,183,15,MTSU,2393,1,183,2016
1,Kansas,2305,5,Maryland,120,1,2305,2016
3,Miami,2390,2,Villanova,222,0,222,2016
1,Oregon,2483,4,Duke,150,1,2483,2016
3,Texas A&M,245,2,Oklahoma,201,0,201,2016
1,North Carolina,153,5,Indiana,84,1,153,2016
6,Notre Dame,87,7,Wisconsin,275,1,87,2016
1,Virginia,258,4,Iowa State,66,1,258,2016
11,Gonzaga,2250,10,Syracuse,183,0,183,2016
1,Kansas,2305,2,Villanova,222,0,222,2016
1,Oregon,2483,2,Oklahoma,201,0,201,2016
1,North Carolina,153,6,Notre Dame,87,1,153,2016
1,Virginia,258,10,Syracuse,183,0,183,2016
2,Villanova,222,2,Oklahoma,201,1,222,2016
1,North Carolina,153,10,Syracuse,183,1,153,2016
2,Villanova,222,1,North Carolina,153,1,222,2016
1,Villanova,222,16,Mount St Marys,116,1,222,2017
8,Wisconsin,275,9,Virginia Tech,259,1,275,2017
5,Virginia,258,12,UNC Wilmington,350,1,258,2017
4,Florida,57,13,ETSU,2193,1,57,2017
6,SMU,2567,11,USC,30,0,30,2017
3,Baylor,239,14,New Mexico St,166,1,239,2017
7,South Carolina,2579,10,Marquette,269,1,2579,2017
2,Duke,150,15,Troy,2653,1,150,2017
1,Gonzaga,2250,16,S Dakota St,2571,1,2250,2017
8,Northwestern,77,9,Vanderbilt,238,1,77,2017
5,Notre Dame,87,12,Princeton,163,1,87,2017
4,West Virginia,277,13,Bucknell,2083,1,277,2017
6,Maryland,120,11,Xavier,2752,0,2752,2017
3,Florida St,52,14,FGCU,526,1,52,2017
7,Saint Mary's,2608,10,VCU,2670,1,2608,2017
2,Arizona,12,15,North Dakota,155,1,12,2017
1,Kansas,2305,16,UC Davis,302,1,2305,2017
8,Miami,2390,9,Michigan St,127,0,127,2017
5,Iowa State,66,12,Nevada,2440,1,66,2017
4,Purdue,2509,13,Vermont,261,1,2509,2017
6,Creighton,156,11,Rhode Island,227,0,227,2017
3,Oregon,2483,14,Iona,314,1,2483,2017
7,Michigan,130,10,Oklahoma St,197,1,130,2017
2,Louisville,97,15,Jax State,55,1,97,2017
1,North Carolina,153,16,Texas Southern,2640,1,153,2017
8,Arkansas,8,9,Seton Hall,2550,1,8,2017
5,Minnesota,135,12,MTSU,2393,0,2393,2017
4,Butler,2086,13,Winthrop,2737,1,2086,2017
6,Cincinnati,2132,11,Kansas St,2306,1,2132,2017
3,UCLA,26,14,Kent State,2309,1,26,2017
7,Dayton,2168,10,Wichita St,2724,0,2724,2017
2,Kentucky,96,15,N Kentucky,94,1,96,2017
1,Villanova,222,8,Wisconsin,275,0,275,2017
5,Virginia,258,4,Florida,57,0,57,2017
11,USC,30,3,Baylor,239,0,239,2017
7,South Carolina,2579,2,Duke,150,1,2579,2017
1,Gonzaga,2250,8,Northwestern,77,1,2250,2017
5,Notre Dame,87,4,West Virginia,277,0,277,2017
11,Xavier,2752,3,Florida St,52,1,2752,2017
7,Saint Mary's,2608,2,Arizona,12,0,12,2017
1,Kansas,2305,9,Michigan St,127,1,2305,2017
5,Iowa State,66,4,Purdue,2509,0,2509,2017
11,Rhode Island,227,3,Oregon,2483,0,2483,2017
7,Michigan,130,2,Louisville,97,1,130,2017
1,North Carolina,153,8,Arkansas,8,1,153,2017
12,MTSU,2393,4,Butler,2086,0,2086,2017
6,Cincinnati,2132,3,UCLA,26,0,26,2017
10,Wichita St,2724,2,Kentucky,96,0,96,2017
8,Wisconsin,275,4,Florida,57,0,57,2017
3,Baylor,239,7,South Carolina,2579,0,2579,2017
1,Gonzaga,2250,4,West Virginia,277,1,2250,2017
11,Xavier,2752,2,Arizona,12,1,2752,2017
1,Kansas,2305,4,Purdue,2509,1,2305,2017
3,Oregon,2483,7,Michigan,130,1,2483,2017
1,North Carolina,153,4,Butler,2086,1,153,2017
3,UCLA,26,2,Kentucky,96,0,96,2017
4,Florida,57,7,South Carolina,2579,0,2579,2017
1,Gonzaga,2250,11,Xavier,2752,1,2250,2017
1,Kansas,2305,3,Oregon,2483,0,2483,2017
1,North Carolina,153,2,Kentucky,96,1,153,2017
7,South Carolina,2579,1,Gonzaga,2250,0,2250,2017
3,Oregon,2483,1,North Carolina,153,0,153,2017
1,Gonzaga,2250,1,North Carolina,153,0,153,2017
1,Virginia,258,16,UMBC,2378,0,2378,2018
8,Creighton,156,9,Kansas St,2306,0,2306,2018
5,Kentucky,96,12,Davidson,2166,1,96,2018
4,Arizona,12,13,Buffalo,2084,0,2084,2018
6,Miami,2390,11,Loyola Chicago,2350,0,2350,2018
3,Tennessee,2633,14,Wright St,2750,1,2633,2018
7,Nevada,2440,10,Texas,251,1,2440,2018
2,Cincinnati,2132,15,Georgia St,2247,1,2132,2018
1,Xavier,2752,16,Texas Southern,2640,1,2752,2018
8,Missouri,142,9,Florida St,52,0,52,2018
5,Ohio State,194,12,S Dakota St,2571,1,194,2018
4,Gonzaga,2250,13,UNC Greensboro,2430,1,2250,2018
6,Houston,248,11,San Diego St,21,1,248,2018
3,Michigan,130,14,Montana,149,1,130,2018
7,Texas A&M,245,10,Providence,2507,1,245,2018
2,North Carolina,153,15,Lipscomb,288,1,153,2018
1,Villanova,222,16,Radford,2515,1,222,2018
8,Virginia Tech,259,9,Alabama,333,0,333,2018
5,West Virginia,277,12,Murray St,93,1,277,2018
